video_id,lane,feature,value,z_score,mean,std
Speed_finals_Zilina_2025_race004_poses,left,post_avg_knee_angle,0.0,-6.188862153004449,126.07035032575709,20.370521625619805
Speed_finals_Zilina_2025_race037_poses,right,post_avg_knee_angle,0.0,-6.188862153004449,126.07035032575709,20.370521625619805
Speed_finals_Zilina_2025_race041_poses,right,post_avg_knee_angle,0.0,-6.188862153004449,126.07035032575709,20.370521625619805
Speed_finals_Zilina_2025_race045_poses,right,post_avg_knee_angle,0.0,-6.188862153004449,126.07035032575709,20.370521625619805
Speed_finals_Innsbruck_2024_race032_poses,left,post_avg_reach_ratio,4.785667550818983,15.488010378421492,0.6263521481241494,0.268550659579216
Speed_finals_Zilina_2025_race007_poses,right,post_avg_reach_ratio,1.442654296484183,3.039657953695117,0.6263521481241494,0.268550659579216
Speed_finals_Zilina_2025_race041_poses,right,post_avg_reach_ratio,1.8248549222703268,4.4628554479221,0.6263521481241494,0.268550659579216
Speed_finals_Zilina_2025_race047_poses,left,post_avg_reach_ratio,1.5071931803644092,3.279980893066594,0.6263521481241494,0.268550659579216
Speed_finals_Chamonix_2024_race008_poses,left,post_body_lean_std,136.28438687981426,3.6195227787380686,20.482114914932964,31.99379560342352
Speed_finals_Innsbruck_2024_race016_poses,left,post_body_lean_std,158.92615031811843,4.327215098804068,20.482114914932964,31.99379560342352
Speed_finals_Innsbruck_2024_race027_poses,left,post_body_lean_std,155.51832864990223,4.220700019741315,20.482114914932964,31.99379560342352
Speed_finals_Innsbruck_2024_race032_poses,left,post_body_lean_std,133.85523247935987,3.5435969826692064,20.482114914932964,31.99379560342352
Speed_finals_Seoul_2024_race016_poses,left,post_body_lean_std,149.82798249185186,4.042842217916718,20.482114914932964,31.99379560342352
Speed_finals_Zilina_2025_race018_poses,left,post_body_lean_std,139.59574005257298,3.723022632703641,20.482114914932964,31.99379560342352
Speed_finals_Zilina_2025_race037_poses,left,post_body_lean_std,130.92667051027735,3.4520616735929317,20.482114914932964,31.99379560342352
Speed_finals_Zilina_2025_race046_poses,right,post_body_lean_std,150.90587325657407,4.076532836500493,20.482114914932964,31.99379560342352
Speed_finals_Zilina_2025_race048_poses,right,post_body_lean_std,123.08280927560423,3.206893474986519,20.482114914932964,31.99379560342352
Speed_finals_Zilina_2025_race061_poses,left,post_body_lean_std,128.7321147788787,3.383468507636598,20.482114914932964,31.99379560342352
Speed_finals_Innsbruck_2024_race005_poses,right,post_elbow_angle_std,23.35449423347176,-3.2519862722714956,53.80702174413998,9.364285381622256
Speed_finals_Innsbruck_2024_race015_poses,left,post_elbow_angle_std,21.19569357010184,-3.482521820409172,53.80702174413998,9.364285381622256
Speed_finals_Innsbruck_2024_race029_poses,left,post_elbow_angle_std,6.315708627798762,-5.07153628717303,53.80702174413998,9.364285381622256
Speed_finals_Innsbruck_2024_race030_poses,left,post_elbow_angle_std,6.249794706713034,-5.078575150086701,53.80702174413998,9.364285381622256
Speed_finals_Seoul_2024_race010_poses,left,post_elbow_angle_std,8.219906818548273,-4.86818940984627,53.80702174413998,9.364285381622256
Speed_finals_Seoul_2024_race010_poses,right,post_elbow_angle_std,16.50022121227105,-3.983945278417599,53.80702174413998,9.364285381622256
Speed_finals_Seoul_2024_race025_poses,right,post_elbow_angle_std,21.78280893143941,-3.4198245255905193,53.80702174413998,9.364285381622256
Speed_finals_Zilina_2025_race032_poses,right,post_elbow_angle_std,13.987974709554804,-4.252224853455607,53.80702174413998,9.364285381622256
Speed_finals_Zilina_2025_race038_poses,left,post_elbow_angle_std,19.978622871532984,-3.612491236010004,53.80702174413998,9.364285381622256
Speed_finals_Zilina_2025_race042_poses,left,post_elbow_angle_std,21.742580418135496,-3.4241204768205904,53.80702174413998,9.364285381622256
Speed_finals_Zilina_2025_race042_poses,right,post_elbow_angle_std,18.114998933349494,-3.811505241055271,53.80702174413998,9.364285381622256
Speed_finals_Zilina_2025_race050_poses,right,post_elbow_angle_std,11.67644155883421,-4.499070507610601,53.80702174413998,9.364285381622256
Speed_finals_Innsbruck_2024_race001_poses,left,post_hip_width_ratio,0.3221774565710056,-3.7462719135128277,0.5900603525409778,0.07150652759713377
Speed_finals_Innsbruck_2024_race007_poses,left,post_hip_width_ratio,0.3735201569955154,-3.0282577384465537,0.5900603525409778,0.07150652759713377
Speed_finals_Innsbruck_2024_race019_poses,right,post_hip_width_ratio,0.2641643365081724,-4.557570154558427,0.5900603525409778,0.07150652759713377
Speed_finals_Innsbruck_2024_race024_poses,right,post_hip_width_ratio,0.159215079086761,-6.025257944024211,0.5900603525409778,0.07150652759713377
Speed_finals_Innsbruck_2024_race026_poses,right,post_hip_width_ratio,0.3178738855972822,-3.8064562228107097,0.5900603525409778,0.07150652759713377
Speed_finals_Seoul_2024_race010_poses,left,post_hip_width_ratio,0.8854077299598977,4.130355470243229,0.5900603525409778,0.07150652759713377
Speed_finals_Seoul_2024_race025_poses,right,post_hip_width_ratio,0.8046975169001347,3.0016443473303314,0.5900603525409778,0.07150652759713377
Speed_finals_Zilina_2025_race014_poses,right,post_hip_width_ratio,0.326583076263706,-3.6846604796935054,0.5900603525409778,0.07150652759713377
Speed_finals_Zilina_2025_race019_poses,right,post_hip_width_ratio,0.2265436081989224,-5.083686155061267,0.5900603525409778,0.07150652759713377
Speed_finals_Zilina_2025_race041_poses,right,post_hip_width_ratio,0.8105322178276296,3.083241106725047,0.5900603525409778,0.07150652759713377
Speed_finals_Zilina_2025_race044_poses,right,post_hip_width_ratio,0.2253424879180723,-5.100483506592824,0.5900603525409778,0.07150652759713377
Speed_finals_Zilina_2025_race048_poses,right,post_hip_width_ratio,0.3406785331866546,-3.4875392182282288,0.5900603525409778,0.07150652759713377
Speed_finals_Innsbruck_2024_race015_poses,left,post_knee_angle_std,4.330982544973985,-4.18632385242962,53.98302481270728,11.860535404807896
Speed_finals_Zilina_2025_race004_poses,left,post_knee_angle_std,0.0,-4.55148296179144,53.98302481270728,11.860535404807896
Speed_finals_Zilina_2025_race013_poses,right,post_knee_angle_std,17.51865519520997,-3.0744286301540633,53.98302481270728,11.860535404807896
Speed_finals_Zilina_2025_race018_poses,left,post_knee_angle_std,18.341174520591053,-3.0050793725271556,53.98302481270728,11.860535404807896
Speed_finals_Zilina_2025_race021_poses,left,post_knee_angle_std,10.83737225298459,-3.6377491476677157,53.98302481270728,11.860535404807896
Speed_finals_Zilina_2025_race032_poses,left,post_knee_angle_std,17.339369962513885,-3.0895447464655925,53.98302481270728,11.860535404807896
Speed_finals_Zilina_2025_race037_poses,right,post_knee_angle_std,0.0,-4.55148296179144,53.98302481270728,11.860535404807896
Speed_finals_Zilina_2025_race041_poses,right,post_knee_angle_std,0.0,-4.55148296179144,53.98302481270728,11.860535404807896
Speed_finals_Zilina_2025_race042_poses,left,post_knee_angle_std,18.34657757894077,-3.0046238232483655,53.98302481270728,11.860535404807896
Speed_finals_Zilina_2025_race042_poses,right,post_knee_angle_std,3.646185191612517,-4.2440613263284686,53.98302481270728,11.860535404807896
Speed_finals_Zilina_2025_race044_poses,right,post_knee_angle_std,7.750328025738965,-3.8980278047335872,53.98302481270728,11.860535404807896
Speed_finals_Zilina_2025_race045_poses,right,post_knee_angle_std,0.0,-4.55148296179144,53.98302481270728,11.860535404807896
Speed_finals_Zilina_2025_race050_poses,left,post_knee_angle_std,5.216368779477191,-4.111674082896931,53.98302481270728,11.860535404807896
Speed_finals_Zilina_2025_race057_poses,left,post_knee_angle_std,3.811466614450906,-4.230125916399892,53.98302481270728,11.860535404807896
Speed_finals_Innsbruck_2024_race032_poses,left,post_max_reach_ratio,133.4194949250276,18.52689723210602,1.9895309874242024,7.094008364759699
